Week,Category,Working Title,Question Number,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Answer Explanation / Fun Fact,Source / Fact-Check Notes,Publish Status,Editor Notes
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",1,Who was the principal author of the Declaration of Independence?,Benjamin Franklin,Thomas Jefferson,John Adams,James Madison,B. Thomas Jefferson,"Jefferson was part of the Committee of Five, but he wrote the first draft of the Declaration.",Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",2,"Which Founding Father is often called the ""Father of the Constitution""?",George Washington,Alexander Hamilton,James Madison,John Jay,C. James Madison,James Madison played a central role at the Constitutional Convention and helped write the Federalist Papers.,Verify with Library of Congress; Montpelier.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",3,Who served as commander in chief of the Continental Army?,George Washington,John Hancock,Samuel Adams,Thomas Paine,A. George Washington,George Washington led American forces during the Revolutionary War before becoming the first president.,Verify with Mount Vernon; National Archives.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",4,"Which Founding Father published ""Poor Richard's Almanack""?",John Adams,Benjamin Franklin,Patrick Henry,Roger Sherman,B. Benjamin Franklin,Benjamin Franklin published the popular almanac under the name Richard Saunders.,Verify with Library of Congress; Franklin Institute.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",5,Who was the first person to sign the Declaration of Independence?,John Adams,Samuel Adams,John Hancock,Benjamin Rush,C. John Hancock,"As president of the Continental Congress, John Hancock signed first and became famous for his large signature.",Verify with National Archives.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",6,Which founder became the first secretary of the Treasury?,Alexander Hamilton,James Madison,John Jay,Gouverneur Morris,A. Alexander Hamilton,Alexander Hamilton helped build the young nation's financial system as the first Treasury secretary.,Verify with U.S. Treasury; National Archives.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",7,"Who famously said, ""Give me liberty, or give me death!""?",Thomas Jefferson,Patrick Henry,John Adams,George Mason,B. Patrick Henry,Patrick Henry delivered the famous line in a 1775 speech in Virginia.,Verify with Library of Congress; Encyclopedia Virginia.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",8,"Which founding-era writer published the pamphlet ""Common Sense""?",Thomas Paine,Benjamin Franklin,John Dickinson,Samuel Adams,A. Thomas Paine,"Thomas Paine's ""Common Sense"" helped persuade many colonists to support independence.",Verify with Library of Congress; National Archives.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",9,Which Founding Father later became the second president of the United States?,Thomas Jefferson,James Monroe,John Adams,Alexander Hamilton,C. John Adams,John Adams served as George Washington's vice president before becoming the second president.,Verify with White House Historical Association.,Drafted - needs final fact-check,
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures",10,Which founder helped negotiate the Treaty of Paris that ended the Revolutionary War?,Benjamin Franklin,George Mason,Paul Revere,Charles Carroll,A. Benjamin Franklin,"Benjamin Franklin, John Adams and John Jay were among the American negotiators of the 1783 Treaty of Paris.",Verify with National Archives; State Department Office of the Historian.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",1,Which battles are often called the first military engagements of the Revolutionary War?,Saratoga and Yorktown,Lexington and Concord,Trenton and Princeton,Bunker Hill and Cowpens,B. Lexington and Concord,The fighting at Lexington and Concord in April 1775 marked the outbreak of armed conflict.,Verify with National Park Service.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",2,Which 1781 battle effectively ended major fighting in the Revolutionary War?,Bunker Hill,Saratoga,Yorktown,Monmouth,C. Yorktown,The British surrender at Yorktown in 1781 paved the way for peace negotiations.,Verify with National Park Service; Library of Congress.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",3,Where did Washington's army spend the difficult winter of 1777-1778?,Morristown,Valley Forge,Ticonderoga,Camden,B. Valley Forge,"The Continental Army endured harsh conditions and trained at Valley Forge, Pennsylvania.",Verify with National Park Service.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",4,Which country became a formal American ally after the victory at Saratoga?,Spain,France,Netherlands,Prussia,B. France,The American victory at Saratoga helped convince France to enter the war as an ally.,Verify with Library of Congress; State Department Office of the Historian.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",5,Who warned colonists that British troops were advancing before Lexington and Concord?,Nathan Hale,Paul Revere,Benedict Arnold,John Paul Jones,B. Paul Revere,Paul Revere was one of several riders who spread the alarm in Massachusetts.,Verify with Paul Revere House; National Park Service.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",6,"Which naval hero is associated with the phrase ""I have not yet begun to fight!""?",John Paul Jones,Oliver Hazard Perry,David Farragut,Stephen Decatur,A. John Paul Jones,John Paul Jones is linked to the phrase during a 1779 sea battle against HMS Serapis.,Verify with Naval History and Heritage Command.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",7,Which general betrayed the American cause and became a synonym for traitor?,Horatio Gates,Charles Lee,Benedict Arnold,Henry Knox,C. Benedict Arnold,Benedict Arnold plotted to surrender West Point to the British and then fled to their side.,Verify with National Park Service; Mount Vernon.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",8,Which document announced the colonies' independence in 1776?,Articles of Confederation,Declaration of Independence,Federalist Papers,Bill of Rights,B. Declaration of Independence,"The Declaration of Independence was adopted by the Continental Congress on July 4, 1776.",Verify with National Archives.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",9,Who crossed the Delaware River before the Battle of Trenton?,George Washington,Thomas Jefferson,Nathanael Greene,Henry Clinton,A. George Washington,Washington's crossing on Christmas night 1776 led to a surprise victory at Trenton.,Verify with Washington Crossing Historic Park; National Archives.,Drafted - needs final fact-check,
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence",10,Which German-born officer helped train the Continental Army at Valley Forge?,Marquis de Lafayette,Baron von Steuben,Tadeusz Kosciuszko,Casimir Pulaski,B. Baron von Steuben,Baron von Steuben drilled the army and helped improve discipline at Valley Forge.,Verify with National Park Service.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,1,In which city was the Constitutional Convention held in 1787?,Boston,New York,Philadelphia,Annapolis,C. Philadelphia,Delegates met in Philadelphia at what is now Independence Hall.,Verify with National Archives; National Constitution Center.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,2,How many amendments make up the Bill of Rights?,8,10,12,15,B. 10,The Bill of Rights consists of the first 10 amendments to the Constitution.,Verify with National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,3,"Which amendment protects freedom of speech, religion, press, assembly and petition?",First Amendment,Second Amendment,Fourth Amendment,Tenth Amendment,A. First Amendment,The First Amendment protects several core civil liberties.,Verify with National Archives; Cornell Legal Information Institute.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,4,What is the name for the first three words of the Constitution?,The Union Clause,The Federal Pledge,We the People,The Liberty Line,C. We the People,"The Constitution begins with the famous phrase ""We the People.""",Verify with National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,5,How many states had to ratify the Constitution for it to take effect?,7,9,10,13,B. 9,Article VII required ratification by nine states for the Constitution to take effect among those states.,Verify with National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,6,Which plan proposed representation based largely on state population at the Constitutional Convention?,New Jersey Plan,Virginia Plan,Albany Plan,Missouri Plan,B. Virginia Plan,The Virginia Plan favored representation based on population and helped shape the House of Representatives.,Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,7,Which branch of government is responsible for interpreting laws?,Executive,Legislative,Judicial,Military,C. Judicial,"The judicial branch, including the Supreme Court, interprets laws and the Constitution.",Verify with U.S. Courts; National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,8,Which amendment protects against unreasonable searches and seizures?,Third Amendment,Fourth Amendment,Sixth Amendment,Ninth Amendment,B. Fourth Amendment,The Fourth Amendment requires lawful standards for searches and seizures.,Verify with National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,9,Who presided over the Constitutional Convention?,Benjamin Franklin,George Washington,James Madison,Alexander Hamilton,B. George Washington,George Washington served as president of the convention in Philadelphia.,Verify with Mount Vernon; National Archives.,Drafted - needs final fact-check,
4,Constitution and Bill of Rights,America 250 Quiz: Test yourself on the Constitution and America's founding rules,10,What are the two houses of Congress?,Cabinet and Court,Senate and House of Representatives,Assembly and Council,Parliament and Commons,B. Senate and House of Representatives,"Congress is bicameral, made up of the Senate and the House of Representatives.",Verify with U.S. House; U.S. Senate.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",1,Which branch of the U.S. military was established first?,Air Force,Army,Coast Guard,Space Force,B. Army,The Continental Army was created in 1775 during the Revolutionary War.,Verify with U.S. Army Center of Military History.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",2,Which war included the Battle of New Orleans?,Revolutionary War,War of 1812,Mexican-American War,Civil War,B. War of 1812,The Battle of New Orleans was fought in January 1815 after the peace treaty had been signed but before news arrived.,Verify with National Park Service.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",3,Who led U.S. forces in Europe during World War II before becoming president?,Douglas MacArthur,Dwight D. Eisenhower,George Patton,Omar Bradley,B. Dwight D. Eisenhower,Dwight D. Eisenhower was Supreme Allied Commander in Europe before becoming the 34th president.,Verify with Eisenhower Presidential Library.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",4,Which attack led the United States to enter World War II?,Fort Sumter,Pearl Harbor,Lusitania,Alamo,B. Pearl Harbor,"Japan's attack on Pearl Harbor on Dec. 7, 1941, led to U.S. entry into World War II.",Verify with National WWII Museum; National Archives.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",5,"Which military academy is located at West Point, New York?",U.S. Naval Academy,U.S. Military Academy,U.S. Air Force Academy,Coast Guard Academy,B. U.S. Military Academy,The U.S. Military Academy at West Point trains Army officers.,Verify with West Point.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",6,Which conflict is associated with the Inchon landing?,World War I,Korean War,Vietnam War,Persian Gulf War,B. Korean War,The amphibious landing at Inchon in 1950 was a major Korean War operation.,Verify with U.S. Army Center of Military History.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",7,What is the highest U.S. military decoration for valor?,Silver Star,Bronze Star,Medal of Honor,Purple Heart,C. Medal of Honor,The Medal of Honor is the nation's highest military award for valor in action.,Verify with Congressional Medal of Honor Society; Defense Department.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",8,Which U.S. service branch was created as a separate branch in 1947?,Marine Corps,Air Force,Navy,Coast Guard,B. Air Force,The U.S. Air Force became a separate branch under the National Security Act of 1947.,Verify with U.S. Air Force; National Archives.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",9,Which Civil War battle began after Confederate forces fired on a federal fort in Charleston Harbor?,Antietam,Fort Sumter,Shiloh,Vicksburg,B. Fort Sumter,The attack on Fort Sumter in April 1861 marked the start of the Civil War.,Verify with National Park Service.,Drafted - needs final fact-check,
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service",10,Which World War II operation launched the D-Day invasion of Normandy?,Operation Torch,Operation Overlord,Operation Market Garden,Operation Desert Storm,B. Operation Overlord,"Operation Overlord was the Allied invasion of Normandy beginning June 6, 1944.",Verify with National WWII Museum; National Archives.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,1,Which state was the first to secede from the Union?,Virginia,South Carolina,Georgia,Mississippi,B. South Carolina,South Carolina seceded in December 1860 after Abraham Lincoln's election.,Verify with National Park Service.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,2,Which battle is often cited as the bloodiest single day in American military history?,Gettysburg,Antietam,Shiloh,Chancellorsville,B. Antietam,"The Battle of Antietam on Sept. 17, 1862, produced about 23,000 casualties.",Verify with National Park Service.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,3,Which general accepted Robert E. Lee's surrender at Appomattox Court House?,William T. Sherman,Ulysses S. Grant,George McClellan,Philip Sheridan,B. Ulysses S. Grant,"Grant accepted Lee's surrender in April 1865, helping bring the Civil War to a close.",Verify with National Park Service.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,4,Which amendment abolished slavery in the United States?,12th Amendment,13th Amendment,14th Amendment,15th Amendment,B. 13th Amendment,"The 13th Amendment abolished slavery and involuntary servitude, except as punishment for a crime.",Verify with National Archives.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,5,Which amendment granted citizenship to people born or naturalized in the United States?,13th Amendment,14th Amendment,15th Amendment,16th Amendment,B. 14th Amendment,The 14th Amendment established birthright citizenship and equal protection principles.,Verify with National Archives.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,6,"Which amendment prohibited denying the vote based on race, color or previous condition of servitude?",13th Amendment,14th Amendment,15th Amendment,19th Amendment,C. 15th Amendment,The 15th Amendment was ratified during Reconstruction in 1870.,Verify with National Archives.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,7,Who was president during most of the Civil War?,James Buchanan,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant,B. Abraham Lincoln,Abraham Lincoln served as president from 1861 until his assassination in 1865.,Verify with White House Historical Association.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,8,Which Civil War battle was fought in Pennsylvania in July 1863?,Vicksburg,Gettysburg,Chickamauga,Fredericksburg,B. Gettysburg,The Battle of Gettysburg was a turning point fought in Pennsylvania over three days.,Verify with National Park Service.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,9,What was the name for the period after the Civil War when the South was rebuilt and readmitted?,The New Deal,Reconstruction,The Progressive Era,Manifest Destiny,B. Reconstruction,Reconstruction refers to the postwar period of rebuilding and political change after 1865.,Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
6,Civil War and Reconstruction,America 250 Quiz: Test yourself on the Civil War and the nation reunited,10,Which organization was created in 1865 to aid formerly enslaved people and poor whites?,Freedmen's Bureau,Peace Corps,Works Progress Administration,Union League,A. Freedmen's Bureau,"The Freedmen's Bureau assisted with education, labor contracts, relief and legal matters.",Verify with National Archives.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,1,Who is credited with inventing the practical telephone?,Thomas Edison,Alexander Graham Bell,Samuel Morse,Eli Whitney,B. Alexander Graham Bell,Alexander Graham Bell received a key telephone patent in 1876.,Verify with Smithsonian; Library of Congress.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,2,Which inventor is associated with the first successful practical incandescent light bulb?,Nikola Tesla,Thomas Edison,Robert Fulton,Cyrus McCormick,B. Thomas Edison,Thomas Edison and his team developed a practical incandescent lighting system in the late 1870s.,Verify with Smithsonian; National Park Service.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,3,Who invented the cotton gin?,Eli Whitney,Samuel Colt,John Deere,Robert Fulton,A. Eli Whitney,Eli Whitney patented the cotton gin in 1794.,Verify with National Archives; Smithsonian.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,4,"Which brothers achieved the first powered, controlled airplane flight in 1903?",Wright brothers,Warner brothers,Mayo brothers,Ringling brothers,A. Wright brothers,"Orville and Wilbur Wright flew at Kitty Hawk, North Carolina, in December 1903.",Verify with National Air and Space Museum; National Park Service.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,5,Which device did Samuel Morse help develop and promote?,Phonograph,Telegraph,Steamboat,Typewriter,B. Telegraph,Samuel Morse helped create an electric telegraph system and Morse code.,Verify with Smithsonian; Library of Congress.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,6,Who patented the reaper that helped mechanize grain harvesting?,Cyrus McCormick,Eli Whitney,George Eastman,Charles Goodyear,A. Cyrus McCormick,Cyrus McCormick's mechanical reaper transformed agricultural harvesting.,Verify with Smithsonian.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,7,Which American inventor developed the Kodak camera brand and popularized snapshot photography?,George Eastman,Thomas Edison,Edwin Land,Samuel Morse,A. George Eastman,George Eastman made photography easier for consumers through Kodak cameras and roll film.,Verify with George Eastman Museum; Smithsonian.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,8,Which inventor is associated with vulcanized rubber?,Charles Goodyear,Henry Ford,Samuel Colt,Robert Fulton,A. Charles Goodyear,Charles Goodyear discovered a vulcanization process that made rubber more durable.,Verify with Smithsonian.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,9,Who developed the first successful polio vaccine used widely in the United States?,Jonas Salk,Albert Sabin,George Washington Carver,Robert Goddard,A. Jonas Salk,Jonas Salk's injectable polio vaccine was announced as effective in 1955.,Verify with CDC; Smithsonian.,Drafted - needs final fact-check,
7,American Inventions,America 250 Quiz: Test yourself on inventions that changed the nation,10,Which computer-related invention is linked to Tim Berners-Lee rather than an American inventor?,World Wide Web,Cotton gin,Telephone,Light bulb,A. World Wide Web,"Tim Berners-Lee, a British scientist, invented the World Wide Web; this question checks invention attribution.",Verify with CERN; World Wide Web Foundation.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",1,Which U.S. agency leads the civilian space program?,NOAA,NASA,NIH,USGS,B. NASA,NASA is the National Aeronautics and Space Administration.,Verify with NASA.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",2,Who was the first American to orbit Earth?,Alan Shepard,John Glenn,Neil Armstrong,Gus Grissom,B. John Glenn,John Glenn orbited Earth aboard Friendship 7 in 1962.,Verify with NASA.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",3,Who was the first person to walk on the moon?,Buzz Aldrin,Neil Armstrong,Michael Collins,Alan Shepard,B. Neil Armstrong,Neil Armstrong stepped onto the lunar surface during Apollo 11 in 1969.,Verify with NASA.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",4,Which Apollo mission landed the first humans on the moon?,Apollo 8,Apollo 10,Apollo 11,Apollo 13,C. Apollo 11,Apollo 11 carried Neil Armstrong and Buzz Aldrin to the lunar surface.,Verify with NASA.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",5,Which American scientist is often called the father of modern rocketry?,Robert Goddard,Carl Sagan,Edward Teller,J. Robert Oppenheimer,A. Robert Goddard,Robert H. Goddard launched the first liquid-fueled rocket in 1926.,Verify with NASA; Smithsonian.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",6,"Which telescope, launched in 1990, transformed astronomy with images from space?",James Webb Space Telescope,Hubble Space Telescope,Chandra Observatory,Spitzer Telescope,B. Hubble Space Telescope,The Hubble Space Telescope has produced landmark observations since its 1990 launch.,Verify with NASA; Space Telescope Science Institute.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",7,Which astronaut commanded Apollo 13?,Jim Lovell,John Young,Pete Conrad,Frank Borman,A. Jim Lovell,"Jim Lovell commanded Apollo 13, the mission famous for its in-flight emergency and safe return.",Verify with NASA.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",8,Which U.S. project developed the first atomic bombs during World War II?,Apollo Program,Manhattan Project,Gemini Program,Marshall Plan,B. Manhattan Project,The Manhattan Project was the wartime effort to develop atomic weapons.,Verify with Department of Energy; National Archives.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",9,Which American oceanographer and Navy officer explored the deepest known point in the ocean in 1960?,Robert Ballard,Don Walsh,Jacques Cousteau,Sylvia Earle,B. Don Walsh,Don Walsh and Jacques Piccard descended to Challenger Deep in the bathyscaphe Trieste.,Verify with NOAA; U.S. Navy.,Drafted - needs final fact-check,
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs",10,Which mission first carried astronauts around the moon?,Apollo 7,Apollo 8,Apollo 9,Gemini 12,B. Apollo 8,Apollo 8 orbited the moon in December 1968.,Verify with NASA.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",1,Which city is widely known as the birthplace of jazz?,Nashville,New Orleans,Detroit,Seattle,B. New Orleans,New Orleans is widely recognized as a birthplace of jazz.,Verify with National Park Service; Smithsonian.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",2,"Which record label was known as ""Hitsville U.S.A.""?",Sun Records,Motown,Chess Records,Atlantic Records,B. Motown,Motown's Detroit headquarters was nicknamed Hitsville U.S.A.,Verify with Motown Museum.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",3,Who was known as the King of Rock and Roll?,Chuck Berry,Elvis Presley,Buddy Holly,Little Richard,B. Elvis Presley,Elvis Presley became one of the defining performers of rock and roll.,Verify with Graceland; Rock and Roll Hall of Fame.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",4,Which Tennessee venue is strongly associated with country music?,Apollo Theater,Grand Ole Opry,Fillmore East,CBGB,B. Grand Ole Opry,The Grand Ole Opry in Nashville is a landmark country music institution.,Verify with Grand Ole Opry; Country Music Hall of Fame.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",5,"Which American composer wrote ""Rhapsody in Blue""?",Aaron Copland,George Gershwin,Duke Ellington,Leonard Bernstein,B. George Gershwin,"George Gershwin premiered ""Rhapsody in Blue"" in 1924.",Verify with Library of Congress.,Drafted - needs final fact-check,
